"Operator Name";"Operator Group Name";"STB Manufacturer";"STB Model";"STB Serial";"STB Production Date";"Chipset Manufacturer";"Chipset Type";"Chipset Version";"Chipset Id"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00400";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529546"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00401";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535342"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00402";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516620"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00403";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529542"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00404";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529279"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00405";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516131"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00415";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516596"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00416";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538256"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00417";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652543887"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00418";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652534677"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00419";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535558"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00420";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529559"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00421";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540742"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00422";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652515868"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00423";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652514368"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00532";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535104"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00533";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652534838"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00534";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529824"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00535";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652515040"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00536";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535664"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00537";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652525278"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00538";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652525544"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00539";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529744"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00540";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532953"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00541";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652525574"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00542";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516562"
